hospital_340b_id,hospital_name,ccn,contract_pharmacy_name,pharmacy_address,status,effective_date,likely_distributor
DSH210001,Regional Medical Center 1,210001,Rite Aid,"752 Main St, City 1",Active,2020-01-01,McKesson
DSH210001,Regional Medical Center 1,210001,Walgreens,"778 Main St, City 1",Active,2020-01-01,Cardinal Health
DSH210001,Regional Medical Center 1,210001,Rite Aid,"496 Main St, City 1",Active,2020-01-01,McKesson
DSH210001,Regional Medical Center 1,210001,Walmart Pharmacy,"739 Main St, City 1",Active,2020-01-01,McKesson
DSH210001,Regional Medical Center 1,210001,Rite Aid,"670 Main St, City 1",Active,2020-01-01,McKesson
DSH210001,Regional Medical Center 1,210001,Rite Aid,"539 Main St, City 1",Active,2020-01-01,McKesson
DSH210001,Regional Medical Center 1,210001,CVS Pharmacy,"243 Main St, City 1",Active,2020-01-01,McKesson
DSH210001,Regional Medical Center 1,210001,Walgreens,"283 Main St, City 1",Active,2020-01-01,Cardinal Health
DSH210001,Regional Medical Center 1,210001,CVS Pharmacy,"961 Main St, City 1",Active,2020-01-01,McKesson
DSH210001,Regional Medical Center 1,210001,Walgreens,"666 Main St, City 1",Active,2020-01-01,Cardinal Health
DSH210001,Regional Medical Center 1,210001,Rite Aid,"901 Main St, City 1",Active,2020-01-01,McKesson
DSH210001,Regional Medical Center 1,210001,Walmart Pharmacy,"214 Main St, City 1",Active,2020-01-01,McKesson
DSH210001,Regional Medical Center 1,210001,Walgreens,"651 Main St, City 1",Active,2020-01-01,Cardinal Health
DSH210001,Regional Medical Center 1,210001,CVS Pharmacy,"210 Main St, City 1",Active,2020-01-01,McKesson
DSH210001,Regional Medical Center 1,210001,Rite Aid,"161 Main St, City 1",Active,2020-01-01,McKesson
DSH210001,Regional Medical Center 1,210001,Walgreens,"600 Main St, City 1",Active,2020-01-01,Cardinal Health
DSH210001,Regional Medical Center 1,210001,Walmart Pharmacy,"691 Main St, City 1",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,CVS Pharmacy,"891 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,CVS Pharmacy,"495 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,Walgreens,"979 Main St, City 2",Active,2020-01-01,Cardinal Health
DSH210002,Hospital Center 2 - North,210002,Walmart Pharmacy,"656 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,Walmart Pharmacy,"972 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,Rite Aid,"139 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,Walmart Pharmacy,"517 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,Walmart Pharmacy,"564 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,CVS Pharmacy,"889 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,Rite Aid,"519 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,Walmart Pharmacy,"156 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,Walmart Pharmacy,"861 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,Rite Aid,"686 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,Walgreens,"553 Main St, City 2",Active,2020-01-01,Cardinal Health
DSH210002,Hospital Center 2 - North,210002,CVS Pharmacy,"770 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,Walmart Pharmacy,"776 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,Rite Aid,"238 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,Walgreens,"886 Main St, City 2",Active,2020-01-01,Cardinal Health
DSH210002,Hospital Center 2 - North,210002,Walgreens,"847 Main St, City 2",Active,2020-01-01,Cardinal Health
DSH210002,Hospital Center 2 - North,210002,Walgreens,"122 Main St, City 2",Active,2020-01-01,Cardinal Health
DSH210002,Hospital Center 2 - North,210002,CVS Pharmacy,"981 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,Walmart Pharmacy,"396 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,Rite Aid,"237 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,Walgreens,"594 Main St, City 2",Active,2020-01-01,Cardinal Health
DSH210002,Hospital Center 2 - North,210002,CVS Pharmacy,"517 Main St, City 2",Active,2020-01-01,McKesson
DSH210002,Hospital Center 2 - North,210002,Walgreens,"612 Main St, City 2",Active,2020-01-01,Cardinal Health
DSH210002,Hospital Center 2 - North,210002,Walgreens,"716 Main St, City 2",Active,2020-01-01,Cardinal Health
