npi,ein,billing_code,billing_code_type,negotiated_rate,negotiated_type,expiration_date,hospital_340b_id,hospital_name,ccn
210001,00-7891149,99213,CPT,4506.73,negotiated,2025-12-31,DSH210001,Regional Medical Center 1,210001
210002,00-3403486,99213,CPT,1537.29,negotiated,2025-12-31,DSH210002,Hospital Center 2 - North,210002
210003,00-5038655,99213,CPT,4811.6,negotiated,2025-12-31,DSH210003,Regional Medical Center 3,210003
210004,00-5666690,99213,CPT,2748.59,negotiated,2025-12-31,DSH210004,Hospital Center 4 - North,210004
210005,00-3868976,99213,CPT,3327.49,negotiated,2025-12-31,DSH210005,Regional Medical Center 5,210005
210006,00-7068741,99213,CPT,1424.01,negotiated,2025-12-31,DSH210006,Hospital Center 6 - North,210006
210007,00-6455962,99213,CPT,2303.61,negotiated,2025-12-31,DSH210007,Regional Medical Center 7,210007
210008,00-9565915,99213,CPT,2191.08,negotiated,2025-12-31,DSH210008,Hospital Center 8 - North,210008
210009,00-7243985,99213,CPT,1327.82,negotiated,2025-12-31,DSH210009,Regional Medical Center 9,210009
210010,00-8039695,99213,CPT,2423.35,negotiated,2025-12-31,DSH210010,Hospital Center 10 - North,210010
210011,00-2936459,99213,CPT,675.48,negotiated,2025-12-31,DSH210011,Regional Medical Center 11,210011
210012,00-5068056,99213,CPT,1644.77,negotiated,2025-12-31,DSH210012,Hospital Center 12 - North,210012
210013,00-9201332,99213,CPT,3769.05,negotiated,2025-12-31,DSH210013,Regional Medical Center 13,210013
210014,00-1013828,99213,CPT,2736.2,negotiated,2025-12-31,DSH210014,Hospital Center 14 - North,210014
210015,00-2544391,99213,CPT,1244.42,negotiated,2025-12-31,DSH210015,Regional Medical Center 15,210015
210016,00-7311627,99213,CPT,2824.76,negotiated,2025-12-31,DSH210016,Hospital Center 16 - North,210016
210017,00-9277190,99213,CPT,4510.45,negotiated,2025-12-31,DSH210017,Regional Medical Center 17,210017
210018,00-3505022,99213,CPT,4367.49,negotiated,2025-12-31,DSH210018,Hospital Center 18 - North,210018
210019,00-5342829,99213,CPT,752.19,negotiated,2025-12-31,DSH210019,Regional Medical Center 19,210019
210020,00-7828060,99213,CPT,3848.65,negotiated,2025-12-31,DSH210020,Hospital Center 20 - North,210020
210021,00-3766726,99213,CPT,2062.21,negotiated,2025-12-31,DSH210021,Regional Medical Center 21,210021
210022,00-6183094,99213,CPT,2647.02,negotiated,2025-12-31,DSH210022,Hospital Center 22 - North,210022
210023,00-5640369,99213,CPT,2360.19,negotiated,2025-12-31,DSH210023,Regional Medical Center 23,210023
210024,00-8265708,99213,CPT,285.3,negotiated,2025-12-31,DSH210024,Hospital Center 24 - North,210024
210025,00-9933776,99213,CPT,4793.56,negotiated,2025-12-31,DSH210025,Regional Medical Center 25,210025
210026,00-2685457,99213,CPT,4456.47,negotiated,2025-12-31,DSH210026,Hospital Center 26 - North,210026
210027,00-3125818,99213,CPT,2850.65,negotiated,2025-12-31,DSH210027,Regional Medical Center 27,210027
210028,00-9777732,99213,CPT,3540.96,negotiated,2025-12-31,DSH210028,Hospital Center 28 - North,210028
210029,00-6248586,99213,CPT,558.55,negotiated,2025-12-31,DSH210029,Regional Medical Center 29,210029
210030,00-6862859,99213,CPT,1890.39,negotiated,2025-12-31,DSH210030,Hospital Center 30 - North,210030
210031,00-8378683,99213,CPT,1738.81,negotiated,2025-12-31,DSH210031,Regional Medical Center 31,210031
210032,00-3503907,99213,CPT,2073.57,negotiated,2025-12-31,DSH210032,Hospital Center 32 - North,210032
210033,00-5681821,99213,CPT,576.24,negotiated,2025-12-31,DSH210033,Regional Medical Center 33,210033
210034,00-1861966,99213,CPT,3054.48,negotiated,2025-12-31,DSH210034,Hospital Center 34 - North,210034
210035,00-3655983,99213,CPT,3158.97,negotiated,2025-12-31,DSH210035,Regional Medical Center 35,210035
210036,00-8490053,99213,CPT,2929.62,negotiated,2025-12-31,DSH210036,Hospital Center 36 - North,210036
210037,00-5794449,99213,CPT,4227.41,negotiated,2025-12-31,DSH210037,Regional Medical Center 37,210037
210038,00-4356378,99213,CPT,4968.88,negotiated,2025-12-31,DSH210038,Hospital Center 38 - North,210038
210039,00-3941579,99213,CPT,3253.4,negotiated,2025-12-31,DSH210039,Regional Medical Center 39,210039
210040,00-6859033,99213,CPT,3350.26,negotiated,2025-12-31,DSH210040,Hospital Center 40 - North,210040
210041,00-5637041,99213,CPT,3475.06,negotiated,2025-12-31,DSH210041,Regional Medical Center 41,210041
210042,00-7851332,99213,CPT,4224.24,negotiated,2025-12-31,DSH210042,Hospital Center 42 - North,210042
210043,00-5056821,99213,CPT,3540.31,negotiated,2025-12-31,DSH210043,Regional Medical Center 43,210043
210044,00-3836909,99213,CPT,1487.23,negotiated,2025-12-31,DSH210044,Hospital Center 44 - North,210044
210045,00-1212550,99213,CPT,2459.86,negotiated,2025-12-31,DSH210045,Regional Medical Center 45,210045
210046,00-9917467,99213,CPT,3614.37,negotiated,2025-12-31,DSH210046,Hospital Center 46 - North,210046
210047,00-9748025,99213,CPT,2369.3,negotiated,2025-12-31,DSH210047,Regional Medical Center 47,210047
210048,00-1881731,99213,CPT,2966.34,negotiated,2025-12-31,DSH210048,Hospital Center 48 - North,210048
210049,00-2698204,99213,CPT,2949.38,negotiated,2025-12-31,DSH210049,Regional Medical Center 49,210049
210050,00-3477197,99213,CPT,4166.08,negotiated,2025-12-31,DSH210050,Hospital Center 50 - North,210050
