hospital_name_raw,normalized_hospital_name,idn_name_raw,normalized_idn_name,organization_type,city,state,relationship_type,relationship_description,source_name,source_url,source_publish_date,source_access_date,evidence_text_short,confidence_score,is_confirmed_idn_member,extraction_method,notes
"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC","USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",HCA Healthcare,HCA HEALTHCARE,hospital,MOBILE,AL,health_system_owned,Facility name contains 'HCA ',CMS Hospital General Information,https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-02-25,2026-04-19,"Name match in CMS Hospital General Information: USA HEALTH HCA PROVIDENCE HOSPITAL, LLC associated with HCA Healthcare",0.9,False,html,Dataset: CMS Hospital General Information
OCHSNER CHOCTAW GENERAL,OCHSNER CHOCTAW GENERAL,Ochsner Health,OCHSNER HEALTH,hospital,BUTLER,AL,inferred_idn_relationship,Facility name contains 'OCHSNER',CMS Hospital General Information,https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-02-25,2026-04-19,Name match in CMS Hospital General Information: OCHSNER CHOCTAW GENERAL associated with Ochsner Health,0.8,False,html,Dataset: CMS Hospital General Information
PROVIDENCE ALASKA MEDICAL CENTER,PROVIDENCE ALASKA MEDICAL CENTER,Providence,PROVIDENCE,hospital,ANCHORAGE,AK,inferred_idn_relationship,Facility name contains 'PROVIDENCE ',CMS Hospital General Information,https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-02-25,2026-04-19,Name match in CMS Hospital General Information: PROVIDENCE ALASKA MEDICAL CENTER associated with Providence,0.8,False,html,Dataset: CMS Hospital General Information
PROVIDENCE VALDEZ MEDICAL CENTER,PROVIDENCE VALDEZ MEDICAL CENTER,Providence,PROVIDENCE,hospital,VALDEZ,AK,inferred_idn_relationship,Facility name contains 'PROVIDENCE ',CMS Hospital General Information,https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-02-25,2026-04-19,Name match in CMS Hospital General Information: PROVIDENCE VALDEZ MEDICAL CENTER associated with Providence,0.8,False,html,Dataset: CMS Hospital General Information
PROVIDENCE SEWARD HOSPITAL,PROVIDENCE SEWARD HOSPITAL,Providence,PROVIDENCE,hospital,SEWARD,AK,inferred_idn_relationship,Facility name contains 'PROVIDENCE ',CMS Hospital General Information,https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-02-25,2026-04-19,Name match in CMS Hospital General Information: PROVIDENCE SEWARD HOSPITAL associated with Providence,0.8,False,html,Dataset: CMS Hospital General Information
PROVIDENCE KODIAK ISLAND MEDICAL CTR,PROVIDENCE KODIAK ISLAND MEDICAL CTR,Providence,PROVIDENCE,hospital,KODIAK,AK,inferred_idn_relationship,Facility name contains 'PROVIDENCE ',CMS Hospital General Information,https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-02-25,2026-04-19,Name match in CMS Hospital General Information: PROVIDENCE KODIAK ISLAND MEDICAL CTR associated with Providence,0.8,False,html,Dataset: CMS Hospital General Information
MAYO CLINIC HOSPITAL,MAYO CLINIC HOSPITAL,Mayo Clinic,MAYO CLINIC,hospital,PHOENIX,AZ,inferred_idn_relationship,Facility name contains 'MAYO CLINIC',CMS Hospital General Information,https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-02-25,2026-04-19,Name match in CMS Hospital General Information: MAYO CLINIC HOSPITAL associated with Mayo Clinic,0.8,False,html,Dataset: CMS Hospital General Information
MERCY GILBERT MEDICAL CENTER,MERCY GILBERT MEDICAL CENTER,Mercy,MERCY,hospital,GILBERT,AZ,inferred_idn_relationship,Facility name contains 'MERCY ',CMS Hospital General Information,https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-02-25,2026-04-19,Name match in CMS Hospital General Information: MERCY GILBERT MEDICAL CENTER associated with Mercy,0.8,False,html,Dataset: CMS Hospital General Information
MERCY HOSPITAL NORTHWEST ARKANSAS,MERCY HOSPITAL NORTHWEST ARKANSAS,Mercy,MERCY,hospital,ROGERS,AR,inferred_idn_relationship,Facility name contains 'MERCY ',CMS Hospital General Information,https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-02-25,2026-04-19,Name match in CMS Hospital General Information: MERCY HOSPITAL NORTHWEST ARKANSAS associated with Mercy,0.8,False,html,Dataset: CMS Hospital General Information
BAPTIST HEALTH - VAN BUREN,BAPTIST HEALTH - VAN BUREN,Baptist Health,BAPTIST HEALTH,hospital,VAN BUREN,AR,inferred_idn_relationship,Facility name contains 'BAPTIST HEALTH',CMS Hospital General Information,https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-02-25,2026-04-19,Name match in CMS Hospital General Information: BAPTIST HEALTH - VAN BUREN associated with Baptist Health,0.8,False,html,Dataset: CMS Hospital General Information
BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,Baptist Health,BAPTIST HEALTH,hospital,NORTH LITTLE ROCK,AR,inferred_idn_relationship,Facility name contains 'BAPTIST HEALTH',CMS Hospital General Information,https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-02-25,2026-04-19,Name match in CMS Hospital General Information: BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK associated with Baptist Health,0.8,False,html,Dataset: CMS Hospital General Information
ARKANSAS METHODIST MEDICAL CENTER,ARKANSAS METHODIST MEDICAL CENTER,Methodist Health System,METHODIST HEALTH SYSTEM,hospital,PARAGOULD,AR,inferred_idn_relationship,Facility name contains 'METHODIST ',CMS Hospital General Information,https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-02-25,2026-04-19,Name match in CMS Hospital General Information: ARKANSAS METHODIST MEDICAL CENTER associated with Methodist Health System,0.8,False,html,Dataset: CMS Hospital General Information
BAPTIST HEALTH MEDICAL CENTER-DREW COUNTY,BAPTIST HEALTH MEDICAL CENTER-DREW COUNTY,Baptist Health,BAPTIST HEALTH,hospital,MONTICELLO,AR,inferred_idn_relationship,Facility name contains 'BAPTIST HEALTH',CMS Hospital General Information,https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-02-25,2026-04-19,Name match in CMS Hospital General Information: BAPTIST HEALTH MEDICAL CENTER-DREW COUNTY associated with Baptist Health,0.8,False,html,Dataset: CMS Hospital General Information
BAPTIST HEALTH - FORT SMITH,BAPTIST HEALTH - FORT SMITH,Baptist Health,BAPTIST HEALTH,hospital,FORT SMITH,AR,inferred_idn_relationship,Facility name contains 'BAPTIST HEALTH',CMS Hospital General Information,https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-02-25,2026-04-19,Name match in CMS Hospital General Information: BAPTIST HEALTH - FORT SMITH associated with Baptist Health,0.8,False,html,Dataset: CMS Hospital General Information
MERCY HOSPITAL FORT SMITH,MERCY HOSPITAL FORT SMITH,Mercy,MERCY,hospital,FORT SMITH,AR,inferred_idn_relationship,Facility name contains 'MERCY ',CMS Hospital General Information,https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-02-25,2026-04-19,Name match in CMS Hospital General Information: MERCY HOSPITAL FORT SMITH associated with Mercy,0.8,False,html,Dataset: CMS Hospital General Information
BAPTIST HEALTH MEDICAL CENTER-STUTTGART,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,Baptist Health,BAPTIST HEALTH,hospital,STUTTGART,AR,inferred_idn_relationship,Facility name contains 'BAPTIST HEALTH',CMS Hospital General Information,https://data.cms.gov/provider-data/dataset/xubh-q36u,2026-02-25,2026-04-19,Name match in CMS Hospital General Information: BAPTIST HEALTH MEDICAL CENTER-STUTTGART associated with Baptist Health,0.8,False,html,Dataset: CMS Hospital General Information
