hospital_name,ein,pdf_url,notes
Archbold Medical Center Inc,581552650,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F581552650_202109_990_2022082220291551.pdf,No automated data extracted
Atrium Navicent Health - Rehabilitation Hospital,NOT_FOUND,N/A,Search failed to find organization
Northeast Georgia Health System Inc,581694090,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F581694090_202309_990_2024120622937999.pdf,No automated data extracted
Northside Hospital Inc,581954432,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F581954432_202309_990_2024120622939612.pdf,No automated data extracted
Partners Cooperative Inc,161644265,https://projects.propublica.org/nonprofits/download-filing?path=05_2021_prefixes_13-20%2F161644265_202012_990_2021052418175324.pdf,No automated data extracted
Southwell Inc,581772605,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F581772605_202109_990_2022082920303853.pdf,No automated data extracted
Adventhealth University Inc,593069793,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_02_2024_prefixes_58-65%2F593069793_202212_990_2024022022295971.pdf,No automated data extracted
Atrium Health Floyd,NOT_FOUND,N/A,Search failed to find organization
Atrium Health Navicent,NOT_FOUND,N/A,Search failed to find organization
Atrium Health Navicent - The Medical Center,NOT_FOUND,N/A,Search failed to find organization
Atrium Navicent Health - Baldwin,NOT_FOUND,N/A,Search failed to find organization
Atrium Navicent Health - Peach,NOT_FOUND,N/A,Search failed to find organization
Baptist Health Care Corporation,592425151,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F592425151_202109_990_2022082920303148.pdf,No automated data extracted
Beauregard Health System Foundation,832402212,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_11_2023_prefixes_82-83%2F832402212_202210_990_2023110821891863.pdf,No automated data extracted
Bradley County Medical Center,710797499,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_11_2023_prefixes_71-75%2F710797499_202209_990_2023110321860398.pdf,No automated data extracted
Brooks County Hospital,NOT_FOUND,N/A,Search failed to find organization
Cherokee Regional Medical Center Foundation,261313474,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_01_2024_prefixes_24-26%2F261313474_202212_990_2024010322166965.pdf,No automated data extracted
Childrens Hospital Association,760292052,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_12_2023_prefixes_74-77%2F760292052_202212_990O_2023121222092166.pdf,No automated data extracted
Colquitt Regional Medical Center,580607088,N/A,No automated data extracted
Confluence Health,454789950,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F454789950_202112_990_2023031321086973.pdf,No automated data extracted
Delta Health System,640586958,N/A,No automated data extracted
Delta Regional Medical Center - Main Campus,NOT_FOUND,N/A,Search failed to find organization
Delta Regional Medical Center - West Campus,NOT_FOUND,N/A,Search failed to find organization
East Alabama Mental Health   Mental Retardation Board Incorporated,630417878,https://projects.propublica.org/nonprofits/download-filing?path=2008_07_EO%2F63-0417878_990_200709.pdf,No automated data extracted
Emory Healthcare-Warner Robins,NOT_FOUND,N/A,Search failed to find organization
Emory Hospital Houston Heart Institute,NOT_FOUND,N/A,Search failed to find organization
Emory Hospital Perry,NOT_FOUND,N/A,Search failed to find organization
Emory Hospital Warner Robins,NOT_FOUND,N/A,Search failed to find organization
Franciscan Missionaries of Our Lady Health (FMOL Health),NOT_FOUND,N/A,Search failed to find organization
Freeman Health System,431704371,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_02_2024_prefixes_38-45%2F431704371_202303_990_2024022022295094.pdf,No automated data extracted
Grady General Hospital,NOT_FOUND,N/A,Search failed to find organization
Greenwood Leflore Hospital,646000400,N/A,No automated data extracted
Hamilton Medical Center Inc,581519911,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F581519911_202309_990_2024120622937845.pdf,No automated data extracted
Hawaii Pacific Health,990246363,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F990246363_202206_990_2023060921428438.pdf,No automated data extracted
Hunterdon Healthcare System Inc,222537411,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_01_2024_prefixes_22-22%2F222537411_202212_990_2024010522184213.pdf,No automated data extracted
Jefferson Healthcare Foundation,462991924,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F462991924_202312_990_2024061122521932.pdf,No automated data extracted
John D Archbold Memorial Hospital Inc,580566121,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F580566121_202309_990_2024120622936704.pdf,No automated data extracted
Lake Charles Memorial Health System,NOT_FOUND,N/A,Search failed to find organization
Southwest Louisiana Hospital Association Inc,720551963,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_01_2024_prefixes_72-74%2F720551963_202212_990_2024010522187788.pdf,No automated data extracted
Lake Charles Memorial Hospital for Women,NOT_FOUND,N/A,Search failed to find organization
Lake Region Healthcare Corporation,410730602,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F410730602_202309_990_2024120622937682.pdf,No automated data extracted
Lawrence County Memorial Hospital,800618988,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_06_2023_prefixes_80-85%2F800618988_202206_990_2023061221445349.pdf,No automated data extracted
Magnolia Regional Health Center Foundation Inc,640640292,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F640640292_202309_990_2024071122681707.pdf,No automated data extracted
Middlesex Hospital,60646718,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_11_2023_prefixes_04-13%2F060646718_202209_990_2023110221848591.pdf,No automated data extracted
Mitchell County Hospital Charitable Foundation,752722073,https://projects.propublica.org/nonprofits/download-filing?path=2015_01_EO%2F75-2722073_990EZ_201309.pdf,No automated data extracted
NGMC Barrow,NOT_FOUND,N/A,Search failed to find organization
NGMC Braselton,NOT_FOUND,N/A,Search failed to find organization
NGMC Gainesville,NOT_FOUND,N/A,Search failed to find organization
NGMC Habersham,NOT_FOUND,N/A,Search failed to find organization
NGMC Lumpkin,NOT_FOUND,N/A,Search failed to find organization
