hospital_340b_id,hospital_name,ccn,contract_pharmacy_name,pharmacy_address,status,effective_date
DSH210009,JOHNS HOPKINS HOSPITAL,210009,JOHNS HOPKINS PHARMAQUIP INC,"5901 HOLABIRD AVE STE A, BALTIMORE, MD, 21224",Active,4/1/2015
DSH210009,JOHNS HOPKINS HOSPITAL,210009,"JOHNS HOPKINS BAYVIEW MEDICAL CENTER, IN","JOHNS HOPKINS OUTPATIENT PHARMACY AT BAY, 4940 EASTERN AVE BMO BUILDING, ROOM 01-0154, BALTIMORE, MD, 21224",Active,4/1/2016
DSH210009,JOHNS HOPKINS HOSPITAL,210009,"PROCARE PHARMACY DIRECT, L.L.C.","DBA CVS/SPECIALTY OR CARELONRX SPECIALTY, 105 MALL BOULEVARD, MONROEVILLE, PA, 15146",Active,4/1/2017
DSH210009,JOHNS HOPKINS HOSPITAL,210009,"CAREMARK, L.L.C.","DBA CVS/SPECIALTY OR CARELONRX SPECIALTY, 1127 BRYN MAWR AVE SUITE A, REDLANDS, CA, 92374",Active,4/1/2017
DSH210009,JOHNS HOPKINS HOSPITAL,210009,CAREMARK MASSACHUSETTS SPECIALTY PHARMAC,"DBA CVS/SPECIALTY OR CARELONRX SPECIALTY, 25 BIRCH STREET, BLDG B, SUITE 100, MILFORD, MA, 01757",Active,4/1/2017
DSH210009,JOHNS HOPKINS HOSPITAL,210009,CAREMARK NORTH CAROLINA SPECIALTY PHARMA,"DBA CVS/SPECIALTY OR CARELONRX SPECIALTY, 10700 WORLD TRADE BLVD STE 110, RALEIGH, NC, 27617",Active,4/1/2017
DSH210009,JOHNS HOPKINS HOSPITAL,210009,"CAREMARK ILLINOIS SPECIALTY PHARMACY, LL","DBA CVS/SPECIALTY OR CARELONRX SPECIALTY, 800 BIERMANN CT STE B, MOUNT PROSPECT, IL, 60056",Active,4/1/2017
DSH210009,JOHNS HOPKINS HOSPITAL,210009,"CAREMARK NEW JERSEY SPECIALTY PHCY, LLC","DBA CVS/SPECIALTY OR CARELONRX SPECIALTY, 180 PASSAIC AVE UNIT B-5, FAIRFIELD, NJ, 07004",Active,4/1/2017
DSH210009,JOHNS HOPKINS HOSPITAL,210009,CAREMARK KANSAS SPECIALTY PHARMACY,"CVS/SPECIALTY OR CARELONRX SPECIALTY PHA, 11162 RENNER BLVD, LENEXA, KS, 66219",Active,4/1/2017
DSH210009,JOHNS HOPKINS HOSPITAL,210009,ACCREDO HEALTH GROUP INC,"1620 CENTURY CENTER PKWY, # 109, MEMPHIS, TN, 38134-8849",Active,10/1/2017
DSH210009,JOHNS HOPKINS HOSPITAL,210009,ACCREDO HEALTH GROUP INC,"3000 ERICSSON DRIVE, SUITE 100, WARRENDALE, PA, 15086-7502",Active,10/1/2017
DSH210009,JOHNS HOPKINS HOSPITAL,210009,"ACCREDO HEALTH GROUP, INC.","6272 LEE VISTA BLVD STE 100, ORLANDO, FL, 32822",Active,10/1/2017
DSH210009,JOHNS HOPKINS HOSPITAL,210009,"ACCREDO HEALTH GROUP, INC.","2051 OLD COOCHS BRIDGE RD STE 100, NEWARK, DE, 19702",Active,10/1/2017
DSH210009,JOHNS HOPKINS HOSPITAL,210009,ACCREDO HEALTH GROUP INC,"2040 W RIO SALADO PKWY STE 101B, TEMPE, AZ, 85281-2010",Active,10/1/2017
DSH210009,JOHNS HOPKINS HOSPITAL,210009,"ACCREDO HEALTH GROUP, INC.","4750 E 450 S, SUITE A, WHITESTOWN, IN, 46075",Active,4/1/2022
DSH210009,JOHNS HOPKINS HOSPITAL,210009,"CAREMARK TENNESSEE SPECIALTY PHARMACY, L","DBA CVS/SPECIALTY OR CARELONRX SPECIALTY, 8370 WOLF LAKE DR STE 107, BARTLETT, TN, 38133",Active,4/1/2022
DSH210009,JOHNS HOPKINS HOSPITAL,210009,CVS/SPECIALTY OR CARELONRX SPECIALTY PHA,"CAREMARK, LLC, 1001 SPINKS ROAD, STE 280, FLOWER MOUND, TX, 75028",Active,4/1/2022
DSH210009,JOHNS HOPKINS HOSPITAL,210009,"PROCARE PHARMACY, L.L.C.","DBA: CVS/PHARMACY #2909, 1521 4TH AVE., SOUTH, BIRMINGHAM, AL, 35233",Active,4/1/2022
DSH210009,JOHNS HOPKINS HOSPITAL,210009,"CAREMARK MICHIGAN SPECIALTY PHARMACY, LL","DBA CVS/SPECIALTY OR CARELONRX SPECIALTY, 1307 ALLEN DR STE H, TROY, MI, 48083",Active,4/1/2022
DSH210009,JOHNS HOPKINS HOSPITAL,210009,CAREMARK FLORIDA SPECIALTY PHARMACY LLC,"DBA CVS/SPECIALTY OR CARELONRX SPECIALTY, 7930 WOODLAND CENTER BLVD STE 500, TAMPA, FL, 33614",Active,4/1/2022
DSH210009,JOHNS HOPKINS HOSPITAL,210009,"CAREMARK, L.L.C.","DBA CVS/SPECIALTY OR CARELONRX SPECIALTY, 7251 S. EASTERN AVE., LAS VEGAS, NV, 89119",Active,4/1/2022
DSH210009,JOHNS HOPKINS HOSPITAL,210009,"PROCARE PHARMACY, L.L.C.","DBA CVS/PHARMACY #2923, 3250 HARDEN ST. EXT. SUITE #300, COLUMBIA, SC, 29203",Active,4/1/2022
DSH210009,JOHNS HOPKINS HOSPITAL,210009,"OPTUM PHARMACY 705, LLC","1893 GENERAL GEORGE PATTON DR, STE 106, FRANKLIN, TN, 37067-2655",Active,7/1/2022
DSH210009,JOHNS HOPKINS HOSPITAL,210009,"OPTUM PHARMACY 707, INC","4900 RIVERGRADE RD STE E110, IRWINDALE, CA, 91706-1401",Active,7/1/2022
DSH210009,JOHNS HOPKINS HOSPITAL,210009,"OPTUM PHARMACY 700, LLC","5700 DOT COM CT, STE 1000, OVIEDO, FL, 32765",Active,7/1/2022
DSH210009,JOHNS HOPKINS HOSPITAL,210009,"OPTUM PHARMACY 702, LLC","1050 PATROL RD, JEFFERSONVILLE, IN, 47130",Active,7/1/2022
DSH210009,JOHNS HOPKINS HOSPITAL,210009,"OPTUM PHARMACY 701, LLC","4015 SHOPTON RD STE 600, CHARLOTTE, NC, 28217-3025",Active,7/1/2022
DSH210009,JOHNS HOPKINS HOSPITAL,210009,"OPTUM PHARMACY 801, INC.","24416 N 19TH AVE, STE. 100, PHOENIX, AZ, 85085",Active,7/1/2022
DSH210009,JOHNS HOPKINS HOSPITAL,210009,"OPTUM PHARMACY 700, LLC","19 CHAPIN RD BLDG D, STE D8, PINE BROOK, NJ, 07058",Active,7/1/2022
DSH210009,JOHNS HOPKINS HOSPITAL,210009,"OPTUM PHARMACY 706, INC.","30-30 47TH AVENUE, SUITE 410, LONG ISLAND CITY, NY, 11101",Active,7/1/2022
DSH210009,JOHNS HOPKINS HOSPITAL,210009,"OPTUM PHARMACY 705, LLC","3539 BLUECUTT RD, COLUMBUS, MS, 39705",Active,7/1/2022
DSH210009,JOHNS HOPKINS HOSPITAL,210009,"OPTUM PHARMACY 704, INC.","5627 UNIVERSITY HTS STE 108, SAN ANTONIO, TX, 78249",Active,7/1/2022
DSH210009,JOHNS HOPKINS HOSPITAL,210009,OPTUMRX,"OPTUMRX INC, 6800 W 115TH ST STE 600, OVERLAND PARK, KS, 66211-9838",Active,7/1/2022
DSH210009,JOHNS HOPKINS HOSPITAL,210009,"OPTUM PHARMACY 701, LLC","4100 S SAGINAW ST STE D, FLINT, MI, 48507",Active,7/1/2022
DSH210009,JOHNS HOPKINS HOSPITAL,210009,"OPTUM PHARMACY 705, LLC","1100 LEE BRANCH LN, BIRMINGHAM, AL, 35242-7298",Active,7/1/2022
DSH210009,JOHNS HOPKINS HOSPITAL,210009,"OPTUM FRONTIER THERAPIES II, LLC","6425 SANTA MARGARITA ST UNIT 110, LAS VEGAS, NV, 89118-1913",Active,10/1/2023
DSH210009,JOHNS HOPKINS HOSPITAL,210009,"OPTUM FRONTIER THERAPIES, LLC","325 W ATHERTON RD, SUITE 1, FLINT, MI, 48507-2601",Active,10/1/2023
