npi,ein,billing_code,billing_code_type,negotiated_rate,negotiated_type,expiration_date
210001,00-7891149,99213,CPT,4506.73,negotiated,2025-12-31
210002,00-3403486,99213,CPT,1537.29,negotiated,2025-12-31
210003,00-5038655,99213,CPT,4811.6,negotiated,2025-12-31
210004,00-5666690,99213,CPT,2748.59,negotiated,2025-12-31
210005,00-3868976,99213,CPT,3327.49,negotiated,2025-12-31
210006,00-7068741,99213,CPT,1424.01,negotiated,2025-12-31
210007,00-6455962,99213,CPT,2303.61,negotiated,2025-12-31
210008,00-9565915,99213,CPT,2191.08,negotiated,2025-12-31
210009,00-7243985,99213,CPT,1327.82,negotiated,2025-12-31
210010,00-8039695,99213,CPT,2423.35,negotiated,2025-12-31
210011,00-2936459,99213,CPT,675.48,negotiated,2025-12-31
210012,00-5068056,99213,CPT,1644.77,negotiated,2025-12-31
210013,00-9201332,99213,CPT,3769.05,negotiated,2025-12-31
210014,00-1013828,99213,CPT,2736.2,negotiated,2025-12-31
210015,00-2544391,99213,CPT,1244.42,negotiated,2025-12-31
210016,00-7311627,99213,CPT,2824.76,negotiated,2025-12-31
210017,00-9277190,99213,CPT,4510.45,negotiated,2025-12-31
210018,00-3505022,99213,CPT,4367.49,negotiated,2025-12-31
210019,00-5342829,99213,CPT,752.19,negotiated,2025-12-31
210020,00-7828060,99213,CPT,3848.65,negotiated,2025-12-31
210021,00-3766726,99213,CPT,2062.21,negotiated,2025-12-31
210022,00-6183094,99213,CPT,2647.02,negotiated,2025-12-31
210023,00-5640369,99213,CPT,2360.19,negotiated,2025-12-31
210024,00-8265708,99213,CPT,285.3,negotiated,2025-12-31
210025,00-9933776,99213,CPT,4793.56,negotiated,2025-12-31
210026,00-2685457,99213,CPT,4456.47,negotiated,2025-12-31
210027,00-3125818,99213,CPT,2850.65,negotiated,2025-12-31
210028,00-9777732,99213,CPT,3540.96,negotiated,2025-12-31
210029,00-6248586,99213,CPT,558.55,negotiated,2025-12-31
210030,00-6862859,99213,CPT,1890.39,negotiated,2025-12-31
210031,00-8378683,99213,CPT,1738.81,negotiated,2025-12-31
210032,00-3503907,99213,CPT,2073.57,negotiated,2025-12-31
210033,00-5681821,99213,CPT,576.24,negotiated,2025-12-31
210034,00-1861966,99213,CPT,3054.48,negotiated,2025-12-31
210035,00-3655983,99213,CPT,3158.97,negotiated,2025-12-31
210036,00-8490053,99213,CPT,2929.62,negotiated,2025-12-31
210037,00-5794449,99213,CPT,4227.41,negotiated,2025-12-31
210038,00-4356378,99213,CPT,4968.88,negotiated,2025-12-31
210039,00-3941579,99213,CPT,3253.4,negotiated,2025-12-31
210040,00-6859033,99213,CPT,3350.26,negotiated,2025-12-31
210041,00-5637041,99213,CPT,3475.06,negotiated,2025-12-31
210042,00-7851332,99213,CPT,4224.24,negotiated,2025-12-31
210043,00-5056821,99213,CPT,3540.31,negotiated,2025-12-31
210044,00-3836909,99213,CPT,1487.23,negotiated,2025-12-31
210045,00-1212550,99213,CPT,2459.86,negotiated,2025-12-31
210046,00-9917467,99213,CPT,3614.37,negotiated,2025-12-31
210047,00-9748025,99213,CPT,2369.3,negotiated,2025-12-31
210048,00-1881731,99213,CPT,2966.34,negotiated,2025-12-31
210049,00-2698204,99213,CPT,2949.38,negotiated,2025-12-31
210050,00-3477197,99213,CPT,4166.08,negotiated,2025-12-31
