source_name,source_url,source_publish_date,source_access_date,organization_name_raw,normalized_organization_name,organization_type,city,state,relationship_type,relationship_description,evidence_text_short,confidence_score,gpo_name,gpo_confidence,is_confirmed_gpo_member,notes,extraction_method,created_at
Vizient Southern States Members Page,https://www.vizientsouthernstates.com/members,,2026-04-19,"Archbold Medical Center, Inc.","Archbold Medical Center, Inc.",hospital,,,confirmed_member,Listed under confirmed member,"Listed on Vizient SS members page: Archbold Medical Center, Inc.",1.0,Vizient,1.0,True,,html,2026-04-19T23:08:00.013403
Vizient Southern States Members Page,https://www.vizientsouthernstates.com/members,,2026-04-19,Brooks County Hospital,Brooks County Hospital,hospital,,,confirmed_member,Listed under confirmed member,Listed on Vizient SS members page: Brooks County Hospital,1.0,Vizient,1.0,True,,html,2026-04-19T23:08:00.013629
Vizient Southern States Members Page,https://www.vizientsouthernstates.com/members,,2026-04-19,Grady General Hospital,Grady General Hospital,hospital,,,confirmed_member,Listed under confirmed member,Listed on Vizient SS members page: Grady General Hospital,1.0,Vizient,1.0,True,,html,2026-04-19T23:08:00.013776
Vizient Southern States Members Page,https://www.vizientsouthernstates.com/members,,2026-04-19,John D. Archbold Memorial Hospital,John D. Archbold Memorial Hospital,hospital,,,confirmed_member,Listed under confirmed member,Listed on Vizient SS members page: John D. Archbold Memorial Hospital,1.0,Vizient,1.0,True,,html,2026-04-19T23:08:00.013895
Vizient Southern States Members Page,https://www.vizientsouthernstates.com/members,,2026-04-19,Mitchell County Hospital,Mitchell County Hospital,hospital,,,confirmed_member,Listed under confirmed member,Listed on Vizient SS members page: Mitchell County Hospital,1.0,Vizient,1.0,True,,html,2026-04-19T23:08:00.013983
Vizient Southern States Members Page,https://www.vizientsouthernstates.com/members,,2026-04-19,Atrium Health Floyd,Atrium Health Floyd,hospital,,,confirmed_member,Listed under confirmed member,Listed on Vizient SS members page: Atrium Health Floyd,1.0,Vizient,1.0,True,,html,2026-04-19T23:08:00.014125
Vizient Southern States Members Page,https://www.vizientsouthernstates.com/members,,2026-04-19,Cherokee Medical Center,Cherokee Medical Center,hospital,,,confirmed_member,Listed under confirmed member,Listed on Vizient SS members page: Cherokee Medical Center,1.0,Vizient,1.0,True,,html,2026-04-19T23:08:00.014209
Vizient Southern States Members Page,https://www.vizientsouthernstates.com/members,,2026-04-19,Polk Medical Center,Polk Medical Center,hospital,,,confirmed_member,Listed under confirmed member,Listed on Vizient SS members page: Polk Medical Center,1.0,Vizient,1.0,True,,html,2026-04-19T23:08:00.014298
Vizient Southern States Members Page,https://www.vizientsouthernstates.com/members,,2026-04-19,Atrium Health Navicent,Atrium Health Navicent,hospital,,,confirmed_member,Listed under confirmed member,Listed on Vizient SS members page: Atrium Health Navicent,1.0,Vizient,1.0,True,,html,2026-04-19T23:08:00.014434
Vizient Southern States Members Page,https://www.vizientsouthernstates.com/members,,2026-04-19,Atrium Navicent Health - Baldwin,Atrium Navicent Health - Baldwin,hospital,,,confirmed_member,Listed under confirmed member,Listed on Vizient SS members page: Atrium Navicent Health - Baldwin,1.0,Vizient,1.0,True,,html,2026-04-19T23:08:00.014569
Vizient Southern States Members Page,https://www.vizientsouthernstates.com/members,,2026-04-19,Atrium Navicent Health - Peach,Atrium Navicent Health - Peach,hospital,,,confirmed_member,Listed under confirmed member,Listed on Vizient SS members page: Atrium Navicent Health - Peach,1.0,Vizient,1.0,True,,html,2026-04-19T23:08:00.014702
Vizient Southern States Members Page,https://www.vizientsouthernstates.com/members,,2026-04-19,"Atrium Navicent Health - Rehabilitation Hospital,","Atrium Navicent Health - Rehabilitation Hospital,",hospital,,,confirmed_member,Listed under confirmed member,"Listed on Vizient SS members page: Atrium Navicent Health - Rehabilitation Hospital,",1.0,Vizient,1.0,True,,html,2026-04-19T23:08:00.014805
Vizient Southern States Members Page,https://www.vizientsouthernstates.com/members,,2026-04-19,Atrium Health Navicent - The Medical Center,Atrium Health Navicent - The Medical Center,hospital,,,confirmed_member,Listed under confirmed member,Listed on Vizient SS members page: Atrium Health Navicent - The Medical Center,1.0,Vizient,1.0,True,,html,2026-04-19T23:08:00.014905
Vizient Southern States Members Page,https://www.vizientsouthernstates.com/members,,2026-04-19,Putnam General Hospital,Putnam General Hospital,hospital,,,confirmed_member,Listed under confirmed member,Listed on Vizient SS members page: Putnam General Hospital,1.0,Vizient,1.0,True,,html,2026-04-19T23:08:00.014991
