source_name,source_url,source_publish_date,source_access_date,organization_name_raw,normalized_organization_name,organization_type,city,state,relationship_type,relationship_description,evidence_text_short,confidence_score,gpo_name,gpo_confidence,is_confirmed_gpo_member,notes,extraction_method,created_at
Vizient Newsroom Detail,https://www.vizientinc.com/newsroom/news-releases/2026/vizient-announces-new-and-renewed-clients-for-q3-of-2025,,2026-04-19,Baptist Health Care Corporation,Baptist Health Care Corporation,unknown,,,new_or_renewed_customer,Listed in news release: Vizient announces new and renewed clients for Q3 of 2025,Listed as new or renewed client in official news release,1.0,Vizient,1.0,True,Extracted from news release client list,html,2026-04-19T23:08:03.008761
Vizient Newsroom Detail,https://www.vizientinc.com/newsroom/news-releases/2026/vizient-announces-new-and-renewed-clients-for-q3-of-2025,,2026-04-19,Ventura County,Ventura County,unknown,,,new_or_renewed_customer,Listed in news release: Vizient announces new and renewed clients for Q3 of 2025,Listed as new or renewed client in official news release,1.0,Vizient,1.0,True,Extracted from news release client list,html,2026-04-19T23:08:03.008918
Vizient Newsroom Detail,https://www.vizientinc.com/newsroom/news-releases/2026/vizient-announces-new-and-renewed-clients-for-q3-of-2025,,2026-04-19,Confluence Health,Confluence Health,unknown,,,new_or_renewed_customer,Listed in news release: Vizient announces new and renewed clients for Q3 of 2025,Listed as new or renewed client in official news release,1.0,Vizient,1.0,True,Extracted from news release client list,html,2026-04-19T23:08:03.008789
Vizient Newsroom Detail,https://www.vizientinc.com/newsroom/news-releases/2026/vizient-announces-new-and-renewed-clients-for-q3-of-2025,,2026-04-19,Freeman Health System,Freeman Health System,unknown,,,new_or_renewed_customer,Listed in news release: Vizient announces new and renewed clients for Q3 of 2025,Listed as new or renewed client in official news release,1.0,Vizient,1.0,True,Extracted from news release client list,html,2026-04-19T23:08:03.008806
Vizient Newsroom Detail,https://www.vizientinc.com/newsroom/news-releases/2026/vizient-announces-new-and-renewed-clients-for-q3-of-2025,,2026-04-19,Hawaii Pacific Health,Hawaii Pacific Health,unknown,,,new_or_renewed_customer,Listed in news release: Vizient announces new and renewed clients for Q3 of 2025,Listed as new or renewed client in official news release,1.0,Vizient,1.0,True,Extracted from news release client list,html,2026-04-19T23:08:03.008812
Vizient Newsroom Detail,https://www.vizientinc.com/newsroom/news-releases/2026/vizient-announces-new-and-renewed-clients-for-q3-of-2025,,2026-04-19,Jefferson Healthcare,Jefferson Healthcare,unknown,,,new_or_renewed_customer,Listed in news release: Vizient announces new and renewed clients for Q3 of 2025,Listed as new or renewed client in official news release,1.0,Vizient,1.0,True,Extracted from news release client list,html,2026-04-19T23:08:03.008881
Vizient Newsroom Detail,https://www.vizientinc.com/newsroom/news-releases/2026/vizient-announces-new-and-renewed-clients-for-q3-of-2025,,2026-04-19,Hunterdon Healthcare System,Hunterdon Healthcare System,unknown,,,new_or_renewed_customer,Listed in news release: Vizient announces new and renewed clients for Q3 of 2025,Listed as new or renewed client in official news release,1.0,Vizient,1.0,True,Extracted from news release client list,html,2026-04-19T23:08:03.008818
Vizient Newsroom Detail,https://www.vizientinc.com/newsroom/news-releases/2026/vizient-announces-new-and-renewed-clients-for-q3-of-2025,,2026-04-19,Lake Region Healthcare Corporation,Lake Region Healthcare Corporation,unknown,,,new_or_renewed_customer,Listed in news release: Vizient announces new and renewed clients for Q3 of 2025,Listed as new or renewed client in official news release,1.0,Vizient,1.0,True,Extracted from news release client list,html,2026-04-19T23:08:03.008889
Vizient Newsroom Detail,https://www.vizientinc.com/newsroom/news-releases/2026/vizient-announces-new-and-renewed-clients-for-q3-of-2025,,2026-04-19,Middlesex Hospital,Middlesex Hospital,unknown,,,new_or_renewed_customer,Listed in news release: Vizient announces new and renewed clients for Q3 of 2025,Listed as new or renewed client in official news release,1.0,Vizient,1.0,True,Extracted from news release client list,html,2026-04-19T23:08:03.008895
Vizient Newsroom,https://www.vizientinc.com/newsroom/news-releases/2026/cha-and-vizient-announce-expanded-agreement-for-enhanced-supply-chain-pharmacy-and-analytics-support,,2026-04-19,Children’s Hospital Association,Children’s Hospital Association,unknown,,,new_or_renewed_customer,"Children’s Hospital Association and Vizient announce expanded agreement for enhanced supply chain, pharmacy and analytics support","News Release: Children’s Hospital Association and Vizient announce expanded agreement for enhanced supply chain, pharmacy and analytics support",1.0,Vizient,1.0,True,Detected from news release title,html,2026-04-19T23:08:03.009405
